'묻지마 돈랠리'... 코스피 2400도 뚫었다
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
"""코스피 2500 넘어선다… IT·바이오·2차전지에 베팅하라""  [코스피 2400선도 돌파]"
"LG 2분기 영업익 3,593억···한온시스템 578억 영업손실"
"[특징주]유니셈, 2분기 호실적에 삼성 비메모리 초격차 전략 수혜 기대"
"와이지엔터, 신인그룹 기대감에 신고가…JYP·SM도 ↑"
"6만원 턱밑까지 올라온 삼성전자, 2500 가까워진 코스피"
"두산인프라코어, 게임엔진 개발사 `유니티`와 스마트건설 솔루션 개발"
"[특징주]신풍제약·씨젠, MSCI 신규 편입에 상승세"
"[특징주] 바닥 찍은 극장株, ‘다만악·반도’ 신작 개봉에 강세"
[특징주]中 고위 외교관 방한 가능성에...자극받은 화장품株
[특징주]알루코 4거래일 급등세... 투자경고종목 지정
"에이치엘비 ""간암 1차치료제 글로벌 3상, 한국 식약처 승인"""
"[특징주] 삼본전자, 게임기업 하루엔터테인먼트 인수에 강세"
MSCI 한국 지수에 씨젠·알테오젠·신풍제약 '입성'
"6만원 턱밑까지 올라온 삼성전자, 2500 가까워진 코스피"
"[특징주] 디케이락, 수소전기트램 실증사업 본격화...현대로템 핵심부품 공급업체 부각↑"
"MSCI 신규편입 종목 혼조세…씨젠·신풍↑, 알테오젠↓"
"[특징주] 와이지엔터테인먼트, 신인 그룹 흥행 기대감에 신고가"
"[특징주] 에이치엘비, 간암 대상 리보세라닙 한국 임상 추가 승인 소식에 강세"
"[특징주] 와이지엔터, 블랙핑크·트레저 활동 기대감에 강세"
"아스타, 코로나19 초고속 진단기술 개발 시동"
"[특징주] 대한해운, 주식 분할 소식에 강세"
"[특징주]화장품株, 여행 재개·면세점 매출 회복 기대감…↑"
"[특징주] 브랜드엑스코퍼레이션, 코스닥 상장 첫날 약세…공모가 하회"
"[특징주] 신풍제약, MSCI지수 편입 소식에 ‘강세’"
"파인텍, 마스크 제조 완전 자동화설비 국산화 성공"
"테고사이언스, LSK Global PS와 MOU 체결"
"[Hot-Line] ""미스터블루, 에오스 레드 성장에 주목"""
"넷마블, 실적 흐름 양호하나 동종업 대비 고평가-한화"
"엔씨소프트, 2Q 영업익 2090억…전년比 61%↑"
"SK바이오팜 세노바메이트, 英 혁신의약품 지정…유럽 수요 확인"
"[Hot-Line] ""넷마블, 투자기업 IPO가 기업가치 최대 변수""…목표가↑"
"대웅제약 '니클로사마이드' 인도 임상에 NYT·아사히도 관심, 왜?"
"한 여름에 보일러株를 사라고?...""경동나비엔 그린뉴딜 수혜"""
"CJ프레시웨이, 2분기 전 부문 매출 감소…목표가↓-메리츠"
"넷마블, BTS·카카오게임즈 효과 기대…목표가↑-메리츠"
"[특징주] 아이쓰리시스템, IR센서 글로벌 수요 증가 전망에 강세"
"에이치엘비, 간암 1차 치료제 글로벌 3상 식약처 IND 승인"
[뉴욕증시] 코로나19 백신 개발 기대 상승
"""SK하이닉스, D램 재고조정 전망…비중 확대해야""-키움증권"
"미스터블루, 모바일 게임 '에오스 레드' 성장성 주목-KB증권"
"[클릭 e종목]""미스터블루, 에오스 레드 흥행…하반기 실적 성장 기대"""
"넷마블,  지분 보유 업체 IPO 흥행 기대…'목표주가↑'-SK증권"
"와이지엔터, 8월부터 아티스트 활동 강화…목표가 ↑"
"신세계인터내셔날, 3분기 회복세 뚜렷-NH"
"에프앤리퍼블릭, 메이크업 브랜드 ‘아이노아이원’ 인수"
"美日 항공사 적자인데···대한항공, 화물사업 호조에 흑자 전망"
내년 블핑·트레저 동반 활동···YG 주가도 훈풍 오나
"[클릭 e종목]“신세계인터내셔날, 2분기 실적 예상보다 부진… 목표가↓”"
"에프앤리퍼블릭, 메이크업 브랜드 `아이노아이원` 인수…""코스메틱 브랜드기업으로 도약"""
"[Hot-Line] ""신세계, 자회사 가치 하락…목표가↓"""
"[Hot-Line] ""HMM, 업황 및 체질 개선으로 수익성 회복"""
"노바렉스, 3분기도 고성장 전망…목표가↑-신한"
"경동나비엔, 그린뉴딜 최대 수혜자…목표가 30%↑ -IBK"
"덕산테코피아, 디스플레이 업사이클·소재 국산화 수혜 주목-신한"
"LG, 높아진 LG화학 위상 반영…목표가↑-대신"
"덕산네오룩스, 中 매출 확대로 어닝서프라이즈 지속…톱픽-키움"
"[클릭 e종목]""위메이드, 3분기 상승 거쳐 4분기 도약 전망"""
"""대한항공, 화물운임 반등으로 하반기도 흑자 전망""-한국투자증권"
"와이지엔터테인먼트, 내년 막강 라인업 구축..목표가↑-KTB투자증권"
"아이쓰리시스템, 코로나발 IR센서 수요 증가…목표가↑-한화證"
"씨엠에스에듀, 코로나 뚫고 2분기 '역대최대’ 실적"
"넷마블 주가 급등, 투자의견 '중립'으로 하향-신영證"
"대한항공, 글로벌 생존게임 뜻밖에 승자-한국투자證"
"티씨케이, 목표가 10만원…낸드 생산수혜-IBK"
"신세계, 3·4분기 흑자 전환 기대-키움"
신세계 코로나19 악재 바닥 지났다…목표가↓-하이
"신세계, 백화점 중심 업황반등 기대-키움"
"[Hot-Line] ""오스템임플란트, 2분기 어닝 서프라이즈 달성""…목표가↑"
LG전자 MZ세대와 소통하는 `Life’s Good` 캠페인 전개
"미스터블루, 무협 웹툰·소설 콘텐츠에 모바일 게임까지 긍정적 -KB"
"[Hot-Line] ""경동나비엔, 정부 그린뉴딜 실제 수혜"""
"대한항공, 항공화물 운임 다시 반등…하반기도 흑자유지 전망-한국"
"이엔드디, 환경사업 매출 증가에 2Q 호실적…하반기 기대감↑-NH"
"펄어비스, 언택트 효과 받았나…영업익 506억 ‘전기比 9.4%↑ 깜짝 성장’"
"신세계인터내셔날, 2Q 적자로 화장품 회복 절실…목표가↓ -한국"
"YG, 블랙핑크·트레저 호조…3Q 실적 회복 전망 -유안타"
"[클릭e종목] ""YG, 3분기 블랙핑크·트레저 동시 활동 덕본다"""
"덕산네오룩스, 하반기 실적성장 명확-유안타證"
"DB손보, 2·4분기 완벽한 어닝 서프라이즈-신금투"
"컴투스, 서머너즈워 저력 지속.. 중장기 우상향 가능성↑-현대차證"
"넷마블, 높아진 밸류에이션 부담감-DB"
"위메이드, 中 저작권 분쟁 승소의 긍정적 후폭풍-하나"
"DB손해보험, 2분기 완벽한 어닝 서프라이즈-신한금투"
"[클릭 e종목]""DB손보, 주가가 실적을 못따라가는 넌센스"""
"신세계, 3분기 흑자 전환 기대-키움증권"
MSCI지수에 씨젠·알테오젠·신풍제약 편입 성공
"새차 살 때 된 중국…만도·현대모비스, 실적 개선 '시동'"
꺼져가는 진단키트 투자 열기…씨젠에 달렸다
"오스템임플란트, 호실적과 밸류에이션 매력 부각-한국투자증권"
"넷마블, 빅히트·카카오게임즈 상장 효과…목표가 16만원↑-메리츠증권"
"[기업공시 8월12일]한국항공우주, 방사청과 610억 규모 공급계약 등"
